Ngày cào,Mã sản phẩm,Mã shop,Mã danh mục,Tên sản phẩm,Giá bán hiển thị trên feed,Giảm giá hiển thị trên feed,Đã bán,Nhãn,Ưu đãi,Chỉ báo khuyến mãi,Đánh giá,Địa chỉ,Danh mục sản phẩm,Link
23/03/2025,23780328379,196261835,100630,Laikou Sữa Rửa Mặt Hoa Anh Đào Nhật Bản 100g Kiểm Soát Dầu Làm Sạch Lỗ Chân Lông,₫49.500,-48%,"Đã bán 212,8k",Xử lý bởi Shopee,Không có ưu đãi,Không có,4.9,Nước ngoài,sữa rửa mặt,https://tinyurl.com/27ymzgzd
23/03/2025,25190385541,1424335120,100630,"[Mua 2 Tặng 2] Sữa rửa mặt HOBEBAR giảm mụn, giảm dầu, làm sạch chuyên sâu và trắng sáng cho mọi loại da - 50ml",₫57.000,-12%,Đã bán 226,Yêu thích,Không có ưu đãi,Không có,4.7,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/2cw5jetg
23/03/2025,17654528848,618982919,100630,"Sữa Rửa Mặt tinh chất rễ cam thảo Acnevir đỏ ngừa mụn, giảm dầu nhờn, khoá ẩm, dùng cho da nhạy cảm Tuýp 100g",₫120.000,-50%,Đã bán 361,Không có nhãn,Giảm ₫10k,Mua để nhận quà,4.9,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/2329gofq
23/03/2025,29908691672,1338601184,100630,Sữa Rửa Mặt Cerave 236ml Vs Gel Rửa Mặt Tạo Bọt La Roche Posay 400ml,₫100.000,-71%,"Đã bán 1,1tr",Không có nhãn,Không có ưu đãi,Rẻ Vô Địch,4.6,Không có thông tin,sữa rửa mặt,https://tinyurl.com/22vsausu
23/03/2025,28258024605,196261835,100630,Sữa Rửa Mặt Da Nam Sâu Nhẹ Làm Sạch Axit Amino Sữa Rửa Mặt Phiên Bản Học Sinh Sữa Rửa Mặt Nam,₫46.200,-48%,"Đã bán 25,3k",Xử lý bởi Shopee,Không có ưu đãi,Rẻ Vô Địch - Mua 3 & giảm 3%,4.8,Nước ngoài,sữa rửa mặt,https://tinyurl.com/26ytadqa
23/03/2025,23232932577,18363975,100630,Sữa Rửa Mặt Hada Labo Advanced Nourish / Perfect White / Acne Care / Pro Anti Aging Cleanser 80g - Kem Rửa Mặt Dưỡng Ẩm,₫63.000,-37%,"Đã bán 240,8k",Mall,Không có ưu đãi,Mua để nhận quà,4.9,Không có thông tin,sữa rửa mặt,https://tinyurl.com/29mgapqj
23/03/2025,17396315762,1069742161,100630,Sữa Rửa Mặt SADOER Trái Cây Mùi Thơm Dễ Chịu Giúp Làm Sạch Sâu Kiềm Dầu Da Căng Bóng Trắng Sáng,₫19.000,-37%,Đã bán 2k,Yêu thích,Không có ưu đãi,Rẻ Vô Địch,4.8,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/24asp8pr
23/03/2025,4089452288,444602331,100630,"Sữa rửa mặt xóa mụn dưỡng ẩm trắng da thu nhỏ lỗ chân lông cho cho da dầu mụn, da khô hỗn hợp100ml - Cleanser Skin Kamel",₫314.000,-37%,"Đã bán 2,1k",Mall,Giảm ₫10k,Không có,4.9,Hà Nội,sữa rửa mặt,https://tinyurl.com/23ysbtda
23/03/2025,26427072934,1035913620,100630,Sữa Rửa Mặt CNP Keo Ong Làm Sạch Tái Tạo Da Propolis Amino Cleanser 31ml - Dr Cell,₫120.000,-33%,Đã bán 31,Không có nhãn,2% Giảm,Mua 2 & giảm 3%,5.0,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/2btcadkx
23/03/2025,18180500359,1008137934,100630,Sữa Rửa Mặt Compliment No Problem ngăn ngừa mụn sạch sâu 200ml,₫109.000,-46%,"Đã bán 54,1k",Mall,Không có ưu đãi,Rẻ Vô Địch,4.9,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/24f57phm
23/03/2025,26604262608,693991468,100630,"Sữa Rữa Mặt Cấp Ẩm Trắng Lấy Sạch Bụi Bẩn Giúp Da Trắng Trẻ Hóa, Kiểm Soát Dầu A299",₫1.700,-47%,"Đã bán 9,2k",Yêu thích,Không có ưu đãi,Rẻ Vô Địch,4.6,Hà Nội,sữa rửa mặt,https://tinyurl.com/28yl3ljm
